Study area,Study area,Study area,Region,Region,Region,Region,Line transect,Line transect,Line transect,Line transect
ID,Label,Shape,ID,Label,Area,Shape,ID,Label,Line length,Shape
ID,Label,Shape,ID,Label,Decimal,Shape,ID,Label,Decimal,Shape
n/a,n/a,n/a,n/a,n/a,km2,n/a,n/a,n/a,km,n/a
Int,Int,Geog,Int,Int,Int,Geog,Int,Int,Int,Geog
1,dolphins,Polygon,1,220,0,Polygon,1,19960417,125.1,Line
1,dolphins,Polygon,1,220,0,Polygon,2,19960418,134.9,Line
1,dolphins,Polygon,1,220,0,Polygon,3,19960419,179.6,Line
1,dolphins,Polygon,1,220,0,Polygon,4,19960420,176.9,Line
1,dolphins,Polygon,1,220,0,Polygon,5,19960421,209.3,Line
1,dolphins,Polygon,1,220,0,Polygon,6,19960422,183.6,Line
1,dolphins,Polygon,1,220,0,Polygon,7,19960423,163,Line
1,dolphins,Polygon,1,220,0,Polygon,8,19960424,138.9,Line
1,dolphins,Polygon,1,220,0,Polygon,9,19960425,176.9,Line
1,dolphins,Polygon,1,220,0,Polygon,10,19960426,206.9,Line
1,dolphins,Polygon,1,220,0,Polygon,11,19960427,209,Line
1,dolphins,Polygon,1,220,0,Polygon,12,19960428,215.8,Line
1,dolphins,Polygon,1,220,0,Polygon,13,19960429,95.9,Line
1,dolphins,Polygon,1,220,0,Polygon,14,19960430,127.9,Line
1,dolphins,Polygon,1,220,0,Polygon,15,19960501,191.1,Line
1,dolphins,Polygon,1,220,0,Polygon,16,19960502,212.1,Line
1,dolphins,Polygon,1,220,0,Polygon,17,19960503,215.3,Line
1,dolphins,Polygon,1,220,0,Polygon,18,19960504,190.5,Line
1,dolphins,Polygon,1,220,0,Polygon,19,19960508,173.3,Line
1,dolphins,Polygon,1,220,0,Polygon,20,19960509,201.7,Line
1,dolphins,Polygon,1,220,0,Polygon,21,19960510,191,Line
1,dolphins,Polygon,1,220,0,Polygon,22,19960512,203.2,Line
1,dolphins,Polygon,1,220,0,Polygon,23,19960513,179.7,Line
1,dolphins,Polygon,1,220,0,Polygon,24,19960514,172.4,Line
1,dolphins,Polygon,1,220,0,Polygon,25,19960515,149.3,Line
1,dolphins,Polygon,1,220,0,Polygon,26,19960516,178.7,Line
1,dolphins,Polygon,1,220,0,Polygon,27,19960517,202.2,Line
1,dolphins,Polygon,1,220,0,Polygon,28,19960518,223.5,Line
1,dolphins,Polygon,1,220,0,Polygon,29,19960519,204.6,Line
1,dolphins,Polygon,1,220,0,Polygon,30,19960520,207.6,Line
1,dolphins,Polygon,1,220,0,Polygon,31,19960521,197.1,Line
1,dolphins,Polygon,1,220,0,Polygon,32,19960522,207.8,Line
1,dolphins,Polygon,1,220,0,Polygon,33,19960523,185.4,Line
1,dolphins,Polygon,1,220,0,Polygon,34,19960524,192.9,Line
1,dolphins,Polygon,1,220,0,Polygon,35,19960525,259.7,Line
1,dolphins,Polygon,1,220,0,Polygon,36,19960529,57.4,Line
1,dolphins,Polygon,1,220,0,Polygon,37,19960530,254.7,Line
1,dolphins,Polygon,1,220,0,Polygon,38,19960531,208,Line
1,dolphins,Polygon,1,220,0,Polygon,39,19960602,207.8,Line
1,dolphins,Polygon,1,220,0,Polygon,40,19960603,233.1,Line
1,dolphins,Polygon,1,220,0,Polygon,41,19960604,206.8,Line
1,dolphins,Polygon,1,220,0,Polygon,42,19960605,200.2,Line
1,dolphins,Polygon,1,220,0,Polygon,43,19960606,208.2,Line
1,dolphins,Polygon,1,220,0,Polygon,44,19960607,159.9,Line
1,dolphins,Polygon,1,220,0,Polygon,45,19960608,115.3,Line
